Disease,Symptoms
depressive disorder,"verbal auditory hallucinations, stiffness, homelessness, nightmare, decreased stool caliber"
depressive disorder,"wheelchair bound, nightmare, verbal auditory hallucinations, homelessness, aphagia"
mitral   valve insufficiency,"decompensation, sore to touch, alcoholic withdrawal symptoms, snore, vomiting, pain, fatigue, pallor"
pneumothorax,"agitation, bruit, prostatism, soft tissue swelling, blackout, sciatica"
primary   carcinoma of the liver cells,"hematocrit decreased, pain abdominal, scar tissue, lesion, stupor, cough, suicidal"
carcinoma,"diarrhea, heartburn, hypokinesia, haemorrhage, nausea"
upper   respiratory infection,"distress respiratory, noisy respiration, hemiplegia, emphysematous change, frail"
ischemia,"sweating increased, rale, bradycardia, asymptomatic, drool, systolic murmur, prodrome"
anemia,"wheelchair bound, flatulence, swelling, guaiac positive, heavy legs, tachypnea, transaminitis, shortness of breath"
primary malignant neoplasm,"thicken, breakthrough pain, monocytosis, hematuria, tonic seizures, pain"
obesity,"productive cough, sneeze, overweight, fatigue, mood depressed, gravida 0"
benign   prostatic hypertrophy,"dysarthria, previous pregnancies 2, bruit, anorexia, mental status changes, paraparesis, throbbing sensation quality"
thrombus,"exhaustion, hemodynamically stable, night sweat, Heberden's node, chest discomfort"
stenosis   aortic valve,"frothy sputum, feeling hopeless, splenomegaly, orthostasis, pain, withdraw, breath-holding spell, pain back, bradycardia"
pancytopenia,"hypoproteinemia, monocytosis, colic abdominal, fatigue, hemodynamically stable"
sepsis (invertebrate),"apyrexial, chest tightness, rale, pain back, unresponsiveness, dizzy spells, jugular venous distention, Stahli's line, disequilibrium"
migraine   disorders,"panic, fever, dyspnea, dizziness, flushing, splenomegaly"
confusion,"pain foot, unresponsiveness, dysarthria, transaminitis, dizziness"
upper   respiratory infection,"frail, apyrexial, disturbed family, urgency of micturition, noisy respiration, enuresis, emphysematous change"
sickle   cell anemia,"haemorrhage, hepatosplenomegaly, apyrexial, headache, hematochezia"
chronic   alcoholic intoxication,"panic, breath sounds decreased, shortness of breath, ascites, numbness, sleeplessness"
neoplasm,"decreased body weight, bedridden, cystic lesion, erythema, indifferent mood, palpitation, pain abdominal, headache, satiety early"
overload   fluid,"distended abdomen, swelling, no known drug allergies, emphysematous change, hypotension"
coronary heart disease,"orthopnea, catching breath, patient non compliance, hypoproteinemia, polymyalgia, dyspnea on exertion"
carcinoma,"diarrhea, previous pregnancies 2, hypothermia, nausea, heartburn, lung nodule"
hepatitis   B,"wheelchair bound, thicken, behavior showing increased motor activity, satiety early, projectile vomiting"
tricuspid   valve insufficiency,"hypersomnolence, mediastinal shift, stiffness, sinus rhythm, mood depressed, pain, impaired cognition"
infection,"suicidal, pain, apyrexial, swelling, homicidal thoughts, cough, sneeze"
fibroid   tumor,"proteinemia, primigravida, cyanosis, abnormally hard consistency, myalgia, difficulty passing urine"
chronic   obstructive airway disease,"throat sore, tenesmus, patient non compliance, hypotonic, chest tightness, hypercapnia, gravida 0, wheezing"
hypercholesterolemia,"t wave inverted, st segment depression, worry, ecchymosis, pain in lower limb, dyspnea"
deglutition   disorder,"breath-holding spell, homicidal thoughts, side pain, lesion, panic, stiffness, pain back, worry"
encephalopathy,"hypokinesia, unresponsiveness, labored breathing, behavior showing increased motor activity, dyspnea on exertion"
hypertensive   disease,"swelling, nausea, hunger, angina pectoris, irritable mood, cyanosis, pressure chest, palpitation"
pneumonia,"wheezing, polymyalgia, non-productive cough, pruritus, malaise, blanch, night sweat"
adhesion,"unsteady gait, feeling suicidal, breakthrough pain, cardiomegaly, myalgia, immobile"
chronic   kidney failure,"nausea, unresponsiveness, passed stones, prostatism, fever, nervousness"
decubitus   ulcer,"headache, systolic murmur, pain back, groggy, fever"
confusion,"dizziness, unresponsiveness, para 1, lightheadedness, low back pain"
coronary heart disease,"tenesmus, soft tissue swelling, sweating increased, pin-point pupils, chest tightness"
spasm   bronchial,"tinnitus, sensory discomfort, fremitus, vomiting, dysuria"
cholecystitis,"abnormally hard consistency, groggy, constipation, gasping for breath, food intolerance, thicken, feces in rectum"
hyperbilirubinemia,"myalgia, cushingoid habitus, hallucinations auditory, cough, para 1, unresponsiveness"
hepatitis,"asterixis, left atrial hypertrophy, distress respiratory, terrify, vomiting, paraparesis, fever, passed stones, mediastinal shift"
schizophrenia,"fall, homelessness, worry, underweight, pruritus"
neutropenia,"pneumatouria, cardiovascular event, blackout, presence of q wave, monoclonal, hypocalcemia result, distress respiratory"
sepsis (invertebrate),"speech slurred, urinary hesitation, apyrexial, green sputum, rale"
kidney   failure acute,"natural, hallucinations visual, fatigability, bradycardia, diarrhea"
paranoia,"indifferent mood, hypesthesia, loose associations, energy increased, blackout"
hernia   hiatal,"headache, numbness of hand, guaiac positive, unconscious state, productive cough, flushing, anosmia, photophobia"
failure   heart,"decreased translucency, stiffness, hypotension, systolic ejection murmur, shortness of breath"
tricuspid   valve insufficiency,"cicatrisation, aura, dyspareunia, mediastinal shift, hemodynamically stable, impaired cognition"
asthma,"gravida 10, productive cough, fever, symptom aggravating factors, fear of falling, mood depressed, distress respiratory"
cholecystitis,"ache, cyanosis, abnormally hard consistency, rest pain, groggy, hoarseness, haemorrhage"
ileus,"phonophobia, thicken, scleral icterus, gravida 0, pain abdominal, pin-point pupils, aphagia"
overload   fluid,"dyspnea on exertion, swelling, pain back, distended abdomen, hypotension"
transient   ischemic attack,"headache, pain foot, clumsiness, difficulty, urgency of micturition"
edema   pulmonary,"pain chest, hallucinations visual, posturing, exhaustion, sinus rhythm, wheezing"
parkinson   disease,"motor retardation, fecaluria, pansystolic murmur, sleepy, dizziness, withdraw"
cholecystitis,"stupor, abnormally hard consistency, posterior rhinorrhea, groggy, constipation, feces in rectum"
encephalopathy,"poor dentition, large-for-dates fetus, unresponsiveness, motor retardation, debilitation, thicken"
Pneumocystis   carinii pneumonia,"poor dentition, transaminitis, hyponatremia, non-productive cough, cyanosis"
carcinoma breast,"difficulty passing urine, alcohol binge episode, dyspnea, swelling, burning sensation, formication"
emphysema   pulmonary,"urinary hesitation, choke, constipation, monoclonal, elation, numbness, dyspnea, decreased translucency, extreme exhaustion"
cellulitis,"pain chest, pruritus, sore to touch, pain neck, difficulty, scratch marks"
bacteremia,"decreased translucency, splenomegaly, diarrhea, blanch, paralyse"
ischemia,"asymptomatic, tired, bradycardia, rale, sweating increased"
hepatitis   B,"moan, mediastinal shift, left atrial hypertrophy, wheelchair bound, jugular venous distention, cystic lesion, projectile vomiting, history of - blackout, abdominal tenderness"
dehydration,"verbal auditory hallucinations, drowsiness, decreased stool caliber, air fluid level, history of - blackout, lethargy"
infection,"throat sore, nausea and vomiting, swelling, fecaluria, monoclonal"
neoplasm,"breath sounds decreased, headache, pain abdominal, satiety early, asterixis"
stenosis   aortic valve,"focal seizures, extrapyramidal sign, satiety early, bradycardia, frothy sputum, monoclonal, shortness of breath, welt"
aphasia,"red blotches, hydropneumothorax, low back pain, charleyhorse, facial paresis, paralyse, intoxication, giddy mood"
neoplasm   metastasis,"pain, feeling strange, hirsutism, mass of body structure, atypia, pin-point pupils, hypoproteinemia"
failure   heart congestive,"orthopnea, cough, nonsmoker, hallucinations auditory, wheezing, dyspnea"
obesity   morbid,"orthostasis, hypoxemia, behavior showing increased motor activity, diarrhea, hematocrit decreased, scar tissue"
mitral   valve insufficiency,"pain, chest discomfort, fatigue, milky, vomiting, transsexual"
diverticulosis,"anorexia, poor dentition, tremor, nausea, cystic lesion"
colitis,"r wave feature, cachexia, tenesmus, pain abdominal, urge incontinence"
chronic   obstructive airway disease,"hypercapnia, bradycardia, patient non compliance, no known drug allergies, ecchymosis, wheezing, pain, throat sore, bedridden"
chronic   alcoholic intoxication,"sleeplessness, loose associations, dysesthesia, panic, asthenia, breath sounds decreased"
pyelonephritis,"formication, lip smacking, myalgia, heartburn, fever, chill, pain abdominal"
adenocarcinoma,"pain abdominal, pain, food intolerance, out of breath, pressure chest, decreased stool caliber, scar tissue"
peripheral   vascular disease,"anorexia, qt interval prolonged, pruritus, sore to touch, sleepy, breath-holding spell, cystic lesion, numbness, dyspnea"
embolism   pulmonary,"unsteady gait, unresponsiveness, history of - blackout, gravida 10, non-productive cough"
delusion,"hacking cough, agitation, terrify, blackout, underweight, fever, irritable mood"
failure   heart,"systolic ejection murmur, bleeding of vagina, angina pectoris, fatigability, hypokinesia"
Alzheimer's   disease,"has religious belief, muscle twitch, tremor, groggy, hypercapnia"
coronary heart disease,"retch, dyspnea on exertion, frothy sputum, orthopnea, poor feeding"
epilepsy,"lethargy, sleepy, lung nodule, dizzy spells, nasal discharge present, rest pain, wheelchair bound, sneeze"
carcinoma colon,"abnormally hard consistency, systolic ejection murmur, fall, polydypsia, hyperemesis, t wave inverted, nausea, throat sore"
hypertensive   disease,"palpitation, emphysematous change, macerated skin, angina pectoris, nausea, catatonia"
hypertension   pulmonary,"adverse effect, left atrial hypertrophy, alcoholic withdrawal symptoms, neck stiffness, large-for-dates fetus, orthostasis, hypotension"
adhesion,"unsteady gait, muscle twitch, haemoptysis, immobile, bleeding of vagina, feeling suicidal, chest tightness, hallucinations visual, stuffy nose"
cellulitis,"pain chest, tired, sore to touch, throat sore, sniffle, stiffness"
decubitus   ulcer,"headache, systolic murmur, burning sensation, fever, regurgitates after swallowing, breath-holding spell"
gastroenteritis,"proteinemia, behavior showing increased motor activity, decreased body weight, flatulence, hyponatremia"
myocardial   infarction,"dyspnea, presence of q wave, chest tightness, polyuria, paraparesis, syncope"
neoplasm,"ataxia, decreased body weight, transaminitis, pain abdominal, cardiovascular event, Murphy's sign, satiety early"
gastroenteritis,"floppy, mass of body structure, hyponatremia, decreased body weight, dysuria, sedentary, retch"
transient   ischemic attack,"headache, poor dentition, syncope, floppy, decreased body weight, difficulty, polydypsia"
confusion,"lightheadedness, projectile vomiting, monoclonal, flushing, dizziness, dysarthria"
spasm   bronchial,"fremitus, pain, hematochezia, room spinning, todd paralysis, unresponsiveness, sensory discomfort, coordination abnormal"
hepatitis,"fecaluria, fever, distress respiratory, air fluid level, sleeplessness, lightheadedness, vomiting"
pericardial effusion body substance,"stridor, withdraw, intoxication, oliguria, blackout, charleyhorse, nonsmoker"
diabetes,"labored breathing, vertigo, phonophobia, hallucinations auditory, unresponsiveness, unable to concentrate, vomiting, thicken"
biliary   calculus,"decreased body weight, alcoholic withdrawal symptoms, diarrhea, pneumatouria, apyrexial, nasal discharge present, orthopnea"
carcinoma of lung,"scar tissue, decreased translucency, agitation, incoherent, asthenia"
carcinoma breast,"burning sensation, extrapyramidal sign, sneeze, swelling, hypoalbuminemia, dyspnea, hemiplegia, formication"
accident   cerebrovascular,"underweight, nausea, asthenia, unresponsiveness, numbness, dyspnea on exertion, speech slurred, hypoxemia, sweating increased"
paranoia,"prostatism, pin-point pupils, cyanosis, proteinemia, energy increased, bradycardia"
kidney   failure acute,"blanch, natural, pustule, dyspnea, haemorrhage"
cellulitis,"pain chest, tremor resting, pruritus, renal angle tenderness, retropulsion, sore to touch, poor dentition"
obesity   morbid,"hematocrit decreased, bleeding of vagina, feels hot/feverish, hypoxemia, poor dentition, renal angle tenderness, patient non compliance, haemorrhage"
